ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
7100,0.0,125000,60.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
4300,0.0,136000,360.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
3208,3066.0,172000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
1875,1875.0,97000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
3500,0.0,81000,300.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
5266,1774.0,187000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0
3750,0.0,113000,480.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
3750,4750.0,176000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
1000,3022.0,110000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
3167,4000.0,180000,300.0,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
3846,0.0,111000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
1378,1881.0,167000,360.0,1.0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
3988,0.0,50000,240.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
2366,2531.0,136000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
2500,2118.0,104000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
8566,0.0,210000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
5695,4167.0,175000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
2958,2900.0,131000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
6250,5654.0,188000,180.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
3273,1820.0,81000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
4133,0.0,122000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
3620,0.0,25000,120.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
2484,2302.0,137000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
1977,997.0,50000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4188,0.0,115000,180.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
1759,3541.0,131000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4288,3263.0,133000,180.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
4843,3806.0,151000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
3052,1030.0,100000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
11417,1126.0,225000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
3800,3600.0,216000,360.0,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2071,754.0,94000,480.0,1.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
5316,0.0,136000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
14583,0.0,185000,180.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
3167,2283.0,154000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
5568,2142.0,175000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
10408,0.0,259000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
4166,0.0,44000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
2137,8980.0,137000,360.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
2957,0.0,81000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
4300,2014.0,194000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
10513,3850.0,160000,180.0,0.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
2014,1929.0,74000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
2718,0.0,70000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
3459,0.0,25000,120.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
4895,0.0,102000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
4000,7750.0,290000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
4583,0.0,84000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
3316,3500.0,88000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
14999,0.0,242000,360.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
4200,1430.0,129000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
5042,2083.0,185000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
5417,0.0,168000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
6950,0.0,175000,180.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0
2698,2034.0,122000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
11757,0.0,187000,180.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2330,4486.0,100000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
14866,0.0,70000,360.0,1.0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
1538,1425.0,30000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
10000,1666.0,225000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
4860,830.0,125000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
6277,0.0,118000,360.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2577,3750.0,152000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
9166,0.0,244000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
2281,0.0,113000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
3254,0.0,50000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
39999,0.0,600000,180.0,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
9538,0.0,187000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
4583,5625.0,255000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
1863,1041.0,98000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
7933,0.0,275000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
3089,1280.0,121000,360.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4167,1447.0,158000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
9323,0.0,75000,180.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
4583,0.0,112000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
2439,3333.0,129000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
2237,0.0,63000,480.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
8000,0.0,200000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
3522,0.0,81000,180.0,1.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
5708,5625.0,187000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4344,736.0,87000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
3497,1964.0,116000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
2045,1619.0,101000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
5516,11300.0,495000,360.0,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
3750,0.0,116000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
2333,1451.0,102000,480.0,0.0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
6400,7250.0,180000,360.0,0.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
4600,0.0,73000,180.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
33846,0.0,260000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3625,0.0,108000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
39147,4750.0,120000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
2178,0.0,66000,300.0,0.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
9328,0.0,188000,180.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
4885,0.0,48000,360.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
12000,0.0,164000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
6033,0.0,160000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
3858,0.0,76000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
4191,0.0,120000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
3125,2583.0,170000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
8333,3750.0,187000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
11000,0.0,83000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
2600,2500.0,90000,360.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
4923,0.0,166000,360.0,0.0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
3500,1083.0,135000,360.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
3917,0.0,124000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
4408,0.0,120000,360.0,1.0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
3244,0.0,80000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
3975,2531.0,55000,360.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
2479,0.0,59000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
3418,0.0,127000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
10000,0.0,214000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
3430,1250.0,128000,360.0,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
7787,0.0,240000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
5703,0.0,130000,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
3173,3021.0,137000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
3850,983.0,100000,360.0,1.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
150,1800.0,135000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
3727,1775.0,131000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
2221,0.0,60000,360.0,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
4009,1717.0,116000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
2971,2791.0,144000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
6250,0.0,128000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3250,0.0,170000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
6250,1695.0,210000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
6400,0.0,200000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0
2491,2054.0,104000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
8333,0.0,280000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
3155,1779.0,140000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
5500,1260.0,170000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
3812,0.0,112000,360.0,1.0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
3315,0.0,96000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
5819,5000.0,120000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
2510,1983.0,140000,180.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
2965,5701.0,155000,60.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
6250,1300.0,108000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
3406,4417.0,123000,360.0,1.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
6050,4333.0,120000,180.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
9703,0.0,112000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
6608,0.0,137000,180.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
2882,1843.0,123000,480.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
1809,1868.0,90000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
1668,3890.0,201000,360.0,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0
3427,0.0,138000,360.0,1.0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
2583,2167.0,104000,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0
2661,7101.0,279000,180.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0
16250,0.0,192000,360.0,0.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
3083,0.0,255000,360.0,1.0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0
6045,0.0,115000,360.0,0.0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
5250,0.0,94000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
14683,2100.0,304000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
2060,2209.0,134000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
3481,0.0,155000,36.0,1.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
7200,0.0,120000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
5166,0.0,128000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0
4095,3447.0,151000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
4708,1387.0,150000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
4333,1811.0,160000,360.0,0.0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
2876,1560.0,90000,360.0,1.0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
3237,0.0,30000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
11146,0.0,136000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
2833,1857.0,126000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2620,2223.0,150000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3900,0.0,90000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
2750,1842.0,115000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
3993,3274.0,207000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3103,1300.0,80000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
14583,0.0,436000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4053,2426.0,158000,360.0,0.0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
3927,800.0,112000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
2301,985.7999878,78000,180.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
1811,1666.0,54000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
3158,3053.0,89000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2600,1717.0,99000,300.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
3704,2000.0,120000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
4124,0.0,115000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
9508,0.0,187000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
3075,2416.0,139000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
4400,0.0,127000,360.0,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
3153,1560.0,134000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
2383,3334.0,172000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
6875,0.0,200000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0
4666,0.0,135000,360.0,1.0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
5000,2541.0,151000,480.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
2014,2925.0,113000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
1800,2934.0,93000,360.0,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
5000,0.0,132000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
1625,1803.0,96000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
4000,2500.0,140000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
3762,1666.0,135000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
2400,1863.0,104000,360.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
20233,0.0,480000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2917,0.0,84000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
2927,2405.0,111000,360.0,1.0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
2507,0.0,56000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
3399,1640.0,111000,180.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
3717,0.0,120000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
10000,0.0,155000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
2400,2167.0,115000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
4342,189.0,124000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
15000,0.0,300000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
8666,4983.0,376000,360.0,0.0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
4917,0.0,130000,360.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
5818,2160.0,184000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
4333,2451.0,110000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
2500,0.0,67000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
4384,1793.0,117000,360.0,1.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1
2935,0.0,98000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
2500,4600.0,176000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
4160,0.0,71000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
2647,1587.0,173000,360.0,1.0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
2378,0.0,46000,360.0,1.0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
4554,1229.0,158000,360.0,1.0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
3173,0.0,74000,360.0,1.0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
2499,2458.0,160000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
3083,2168.0,126000,360.0,1.0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1
2625,6250.0,187000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0
9083,0.0,228000,360.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
8750,4167.0,308000,360.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0
2666,2083.0,95000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
5500,0.0,105000,360.0,0.0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
2423,505.0,130000,360.0,1.0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
8333,3167.0,165000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0
3875,0.0,67000,360.0,1.0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
3000,1666.0,100000,480.0,0.0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1
5167,3167.0,200000,360.0,1.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
4723,0.0,81000,360.0,1.0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
5000,3667.0,236000,360.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0
